Restriction Type,Parking Spaces,Times Of Operation,Maximum Stay,Tariff,Cashless Identifier,Nearest Machine,Road Name,Postcode,Controlled Parking Zone,Valid Parking Permits,Parking Bay Length Metres,Disclaimer,Easting,Northing,EPSG:27700 Well Known Text Geometry,EPSG:4326 Well Known Text Geometry,Unique Identifier,Spatial Accuracy,Last Uploaded,Socrata ID
resident permit holders only,4,mon-sat 08:30-18:30,N/A,N/A,N/A,N/A,Huntley Street,WC1E 7AT,CA-E,CA-E,20,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529621,181938,"LINESTRING (529612.327529048 181956.224827666,529610.497125483 181954.915202542,529621.966005475 181938.75982697,529622.139151758 181938.529892788,529623.936575078 181939.819523635)","LINESTRING (-0.133229920224752 51.52166983897,-0.133256769059405 51.5216584894464,-0.133097493369136 51.5215106773434,-0.13309508365148 51.5215085713076,-0.133068717304738 51.5215197486748)",46036058,Defined By Custodian,4/9/17 23:31,1072
resident permit holders only,1,mon-sat 08:30-18:30,N/A,N/A,N/A,N/A,Huntley Street,WC1E 7ET,CA-E,CA-E,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529650,181893,"LINESTRING (529646.445591884 181895.202295184,529648.201789898 181896.501923169,529648.350200998 181896.271988987,529651.961537761 181891.373391196,529652.10994886 181891.163451291,529650.345505785 181889.873820444)","LINESTRING (-0.132760868772513 51.5211136280577,-0.132735092758798 51.5211249046462,-0.132733039392136 51.5211228042753,-0.132682818182838 51.5210779541494,-0.132680757471037 51.5210760334592,-0.132706648566434 51.521064848614)",46036059,Defined By Custodian,4/9/17 23:31,1073
resident permit holders only,7,mon-sat 08:30-18:30,N/A,N/A,N/A,N/A,Huntley Street,WC1E 7AS,CA-E,CA-E,35,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529644,181907,"LINESTRING (529636.526783379 181922.494482876,529635.017937198 181921.38480052,529644.565717953 181907.948646579,529655.844961539 181892.343113616,529657.370297843 181893.522775941)","LINESTRING (-0.132893719612438 51.5213611678378,-0.132915862749649 51.5213515414756,-0.132783263505765 51.5212286061451,-0.13262652044849 51.5210857781513,-0.132604114114672 51.5210960295638)",46036060,Defined By Custodian,4/9/17 23:31,1074
resident permit holders only,4,mon-sat 08:30-18:30,N/A,N/A,N/A,N/A,Howland Street,W1T 4AY,CA-E,CA-E,24,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529315,181939,"LINESTRING (529333.916550847 181956.284810496,529335.103839645 181954.645279807,529315.389898553 181939.709555113,529315.183772025 181939.559598038,529314.087178899 181941.099157344)","LINESTRING (-0.137240508347652 51.5217341361439,-0.137224006211972 51.5217191306104,-0.137513469164712 51.5215894175863,-0.137516493468385 51.5215881171175,-0.137531725805794 51.521602203456)",46036061,Defined By Custodian,4/9/17 23:31,1075
resident permit holders only,3,mon-sat 08:30-18:30,N/A,N/A,N/A,N/A,Howland Street,W1T 4AZ,CA-E,CA-E,16,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529374,181984,"LINESTRING (529380.014687463 181990.7749378,529381.012339856 181989.065427142,529367.754281606 181979.358205805,529366.707158846 181981.127699293)","LINESTRING (-0.136563795044122 51.5220335401891,-0.136550050500456 51.5220179490731,-0.136744599670014 51.5219337473819,-0.136759034897577 51.5219498888415)",46036062,Defined By Custodian,4/9/17 23:31,1076
paid-for,5,mon-sat 08:30-18:30,2 hours,å£4.65 p/h,13901,E112,Keppel Street,WC1E 6HW,CA-E,N/A,25,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529833,181834,"LINESTRING (529827.597829336 181832.370280661,529829.164390945 181830.780735663,529833.938281323 181834.349714054,529849.125683871 181844.926686427,529847.443691407 181847.096065449)","LINESTRING (-0.130174473252038 51.5205074105614,-0.130152492099278 51.5204927661705,-0.130082410810009 51.5205237430532,-0.129859743381218 51.5206153066879,-0.129883173820441 51.5206351884011)",46036063,Defined By Custodian,4/9/17 23:31,1077
paid-for,1,mon-sat 08:30-18:30,2 hours,å£5.55 p/h,14096,E102,Chenies Street,WC1E 7AP,CA-E,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529668,181888,"LINESTRING (529669.605968517 181891.503353995,529670.949913476 181889.77384906,529666.810892804 181886.754713279,529665.277311439 181888.44422966)","LINESTRING (-0.132428599913913 51.5210750756069,-0.132409876035678 51.5210592249166,-0.132470609099025 51.5210330422778,-0.132492079426012 51.521048577087)",46036064,Defined By Custodian,4/9/17 23:31,1078
paid-for,7,mon-sat 08:30-18:30,2 hours,å£5.55 p/h,13865,E102,Chenies Street,WC1E 7PA,CA-E,N/A,37,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529657,181873,"MULTILINESTRING ((529670.793257316 181883.285706272,529663.323231958 181877.897248702,529659.497523607 181875.148035656,529656.018107822 181872.628756792,529640.195835569 181861.451956118,529641.127527474 181860.032362472),(529671.782664648 181881.686164136,529670.793257316 181883.345689102,529670.669581399 181883.345689102))","MULTILINESTRING ((-0.132414517979609 51.5210009541787,-0.132524105442729 51.5209542432051,-0.132580225782848 51.5209304143539,-0.132631273167812 51.5209085724002,-0.132863302420332 51.5208117585907,-0.132850403114703 51.5207987875623),(-0.132400853509932 51.5209863527308,-0.132414495927649 51.5210014932234,-0.132416277493458 51.5210015215886))",46036065,Defined By Custodian,4/9/17 23:31,1079
resident permit holders only,1,mon-sat 09:00-19:00,N/A,N/A,N/A,N/A,Langland Gardens,NW3 6QE,CA-H,CA-H,4,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",525951,185358,"LINESTRING (525950.366091605 185360.960232294,525952.361396392 185360.62032959,525951.512155098 185355.971660258,525949.459134884 185356.401537207)","LINESTRING (-0.184766006588857 51.5530954876285,-0.184737364527045 51.5530919879698,-0.18475126996084 51.5530504004092,-0.184780711816271 51.5530547215223)",46035055,Defined By Custodian,4/9/17 23:31,108
disabled (blue badge),2,at any time,N/A,N/A,N/A,N/A,Chenies Street,WC1E 7PA,CA-E,N/A,13,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529680,181890,"LINESTRING (529683.086643417 181889.563909155,529681.849884252 181891.233431259,529680.134911543 181890.093757488,529671.304451104 181883.84554602,529672.351573864 181882.036063978)","LINESTRING (-0.132235122027376 51.5210545545453,-0.132252323870366 51.5210698416329,-0.132277447303534 51.521059993148,-0.13240694835525 51.5210058680192,-0.132392529672148 51.5209893666768)",46036066,Defined By Custodian,4/9/17 23:31,1080
paid-for,1,mon-sat 08:30-18:30,2 hours,å£5.55 p/h,13862,E102,Chenies Street,WC1E 7EU,CA-E,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529578,181823,"LINESTRING (529577.640556995 181825.102361081,529578.844335916 181823.532810361,529578.770130366 181823.442836115,529574.449718349 181820.333726089,529573.039812901 181821.723328319)","LINESTRING (-0.133777768885177 51.5204994374308,-0.133761005088608 51.5204850565297,-0.133762107070288 51.5204842649688,-0.133825484588929 51.5204573146146,-0.133845283744358 51.5204701256099)",46036067,Defined By Custodian,4/9/17 23:31,1081
paid-for,3,mon-sat 08:30-18:30,2 hours,å£5.55 p/h,13862,E102,Chenies Street,WC1E 7EU,CA-E,N/A,17,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529610,181845,"LINESTRING (529615.988336177 181852.994377075,529617.357016319 181850.874983745,529617.126154608 181850.705032393,529612.558390758 181847.465959568,529608.22973368 181844.336855265,529604.065977824 181841.307722345,529603.95879203 181841.267733791,529602.631337193 181843.767018379)","LINESTRING (-0.133215120901854 51.5207413034083,-0.133196183846325 51.5207219433784,-0.133199571870627 51.5207204690104,-0.133266560911398 51.5206924077415,-0.133330065125125 51.5206652798704,-0.133391157126765 51.5206390125719,-0.133392715832484 51.5206386777788,-0.13341091950122 51.5206614422796)",46036068,Defined By Custodian,4/9/17 23:31,1082
paid-for,3,mon-sat 08:30-18:30,2 hours,å£5.55 p/h,13863,E102,Chenies Street,WC1E 7EY,CA-E,N/A,16,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529619,181846,"LINESTRING (529629.048512961 181851.594777706,529627.910694529 181853.224311257,529623.680978184 181850.23516689,529619.030763723 181846.90611982,529614.627901095 181843.777015517,529614.36405914 181843.587069888,529615.691513977 181841.877559231)","LINESTRING (-0.133027502927183 51.5207257314681,-0.133043294368698 51.5207406363939,-0.133105322100608 51.5207147437337,-0.133173531956428 51.5206858928541,-0.133238105146941 51.5206587820452,-0.133241975593344 51.5206571355549,-0.133223481789939 51.5206414684544)",46036069,Defined By Custodian,4/9/17 23:31,1083
paid-for,6,mon-sat 08:30-18:30,2 hours,å£5.55 p/h,13861,E102,Alfred Place,WC1E 7EA,CA-E,N/A,30,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529621,181813,"LINESTRING (529631.835343613 181802.58880552,529629.798813521 181801.219197566,529629.411295649 181801.749045898,529625.668037909 181807.017537808,529622.559649874 181811.24632733,529619.550202572 181815.505108266,529615.856415199 181820.603648824,529612.451204964 181825.29230671,529612.26981362 181825.542235169,529614.075482001 181826.831866016)","LINESTRING (-0.133005369060123 51.5202846928121,-0.133035208399656 51.5202728515441,-0.133040595830129 51.520277701955,-0.133092580909691 51.5203259062839,-0.133135802926877 51.5203646215938,-0.133177588761116 51.520403583728,-0.133228923960878 51.5204502493629,-0.133276252938133 51.5204931653472,-0.133278774034523 51.5204954529509,-0.133252289553557 51.5205066284774)",46036070,Defined By Custodian,4/9/17 23:31,1084
paid-for,6,mon-sat 08:30-18:30,2 hours,å£5.55 p/h,13860,E102,Alfred Place,WC1E 7LR,CA-E,N/A,31,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529643,181782,"LINESTRING (529656.545791733 181768.708503655,529654.542241885 181767.28891001,529650.741268718 181772.557401919,529647.261852933 181777.436005434,529643.897868004 181782.104669043,529640.195835569 181787.193212462,529636.782380273 181791.881870348,529636.600988929 181792.131798807,529638.40665731 181793.421429654)","LINESTRING (-0.132661871423124 51.5199745562471,-0.132691253944418 51.5199622582978,-0.132744069679856 51.5200104760112,-0.132792396853639 51.5200551161762,-0.132839138520848 51.5200978431968,-0.13289059547809 51.5201444210248,-0.132938042592974 51.5201873390319,-0.13294056365573 51.5201896266427,-0.132914079273328 51.5202008020943)",46036071,Defined By Custodian,4/9/17 23:31,1085
paid-for,8,mon-sat 08:30-18:30,2 hours,å£5.55 p/h,13870,E104,Store Street,WC1E 7DE,CA-E,N/A,41,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529742,181767,"MULTILINESTRING ((529757.83636736 181778.645659174,529753.367544243 181775.326609242,529749.129582837 181772.357459152,529744.908111553 181769.238351988,529740.678395208 181766.119244823,529736.374473314 181762.950151966,529731.674788486 181759.471147821,529725.853775349 181755.05241267),(529725.71360931 181755.122392639,529724.039861906 181757.461723013),(529757.869347604 181778.715639142,529756.319276117 181780.765052504))","MULTILINESTRING ((-0.131199147098344 51.5200406211394,-0.131264740529567 51.5200118195807,-0.131326879658565 51.5199861094319,-0.131388836339603 51.519959047854,-0.131450911715812 51.5199319881346,-0.131514074316889 51.5199044962047,-0.131583051691069 51.5198743099844,-0.131668527025904 51.5198359359688),(-0.131670520344959 51.5198365970138,-0.13169376992123 51.5198580037729),(-0.131198646281307 51.5200412424557,-0.131220220856672 51.5200600155421))",46036072,Defined By Custodian,4/9/17 23:31,1086
paid-for,5,mon-sat 08:30-18:30,2 hours,å£5.55 p/h,13897,E109,Tottenham Court Road,W1T 7PQ,CA-E,N/A,29,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529464,181956,"LINESTRING (529473.950668588 181946.677560542,529471.534865685 181945.187986928,529471.312249035 181945.567878186,529468.698564666 181949.896639091,529466.167330908 181954.095437197,529463.157883607 181959.094006372,529460.255622099 181963.912627056,529457.369850714 181968.711253463,529457.237929736 181968.921193369,529459.398135744 181970.170835662)","LINESTRING (-0.135226791485563 51.5216157473276,-0.135262138729575 51.5216029142638,-0.135265206143192 51.5216063791987,-0.135301268135855 51.5216458788533,-0.135336190165721 51.5216841916845,-0.135377707527868 51.5217298012857,-0.135417746971033 51.5217737691921,-0.13545755628273 51.5218175536275,-0.135459379598547 51.5218194704942,-0.135427802283306 51.5218302059614)",46036073,Defined By Custodian,4/9/17 23:31,1087
resident permit holders only,6,"mon-fri 08:30-18:30, sat-sun 09:30-17:30",N/A,N/A,N/A,N/A,Gloucester Crescent,NW1 7EG,CA-F,N/A,3603,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",0,0,,,46126824,Defined By Custodian,4/9/17 23:31,8276
disabled (blue badge),3,at any time,N/A,N/A,N/A,N/A,Tottenham Street,W1T 4RY,CA-E,N/A,19,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529347,181749,"LINESTRING (529346.358348048 181750.353757646,529347.685802886 181748.794204064,529333.759894686 181738.957019929,529332.556115765 181740.536567788)","LINESTRING (-0.137136797135501 51.5198806545408,-0.13711824729821 51.5198663356577,-0.137322454047119 51.5197811177258,-0.137339215060663 51.5197955879692)",46036074,Defined By Custodian,4/9/17 23:31,1088
paid-for,3,mon-sat 08:30-18:30,2 hours,å£5.55 p/h,13893,E108,Tottenham Street,W1T 4JB,CA-E,N/A,15,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529321,181729,"LINESTRING (529328.128517954 181731.43917189,529327.081395194 181733.088699718,529326.949474216 181732.998725473,529323.15674611 181730.40946664,529319.298057514 181727.780219255,529314.40049122 181724.411183631,529314.054198654 181724.151258034,529315.167281903 181722.491733068)","LINESTRING (-0.137406329076432 51.5197148453721,-0.137420807842341 51.5197299086587,-0.137422741119447 51.5197291302638,-0.137478323724548 51.5197067289364,-0.137534871079593 51.5196839833041,-0.137606654341562 51.5196548270072,-0.137611737881471 51.5196525703397,-0.137596312597921 51.5196374021492)",46036075,Defined By Custodian,4/9/17 23:31,1089
disabled (blue badge),1,at any time,N/A,N/A,N/A,N/A,Langland Gardens,NW3 6QD,CA-H,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",525944,185329,"LINESTRING (525943.687592113 185333.228170514,525945.625181472 185332.64833649,525943.778287785 185326.270162223,525941.708777449 185327.029944738)","LINESTRING (-0.184872202062564 51.5528477527319,-0.184844477979003 51.5528421097412,-0.184873383650538 51.5527852018206,-0.184902945050551 51.5527924913961)",46035056,Defined By Custodian,4/9/17 23:31,109
paid-for,4,mon-sat 08:30-18:30,2 hours,å£5.55 p/h,13898,E110,University Street,WC1E 6DE,CA-E,N/A,22,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529481,182172,"LINESTRING (529473.736296999 182164.035342525,529472.656193995 182165.994781641,529490.943739517 182178.031336213,529492.23821411 182176.101888512)","LINESTRING (-0.13515008481563 51.5235691172597,-0.135164925353489 51.5235869734408,-0.134897056233726 51.5236909533048,-0.134879116523878 51.5236733175101)",46036077,Defined By Custodian,4/9/17 23:31,1090
resident permit holders only,2,mon-sat 08:30-18:30,N/A,N/A,N/A,N/A,Fitzroy Mews,W1T 6JG,CA-E,CA-E,10,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529084,182023,"LINESTRING (529085.987563537 182018.267068259,529087.430449229 182019.256784956,529081.337349076 182028.074260979,529079.886218322 182026.924590069)","LINESTRING (-0.140789341298266 51.5223478137174,-0.140768193404647 51.522356378543,-0.140852741085627 51.5224370096782,-0.140874066318759 51.5224270092611)",46036078,Defined By Custodian,4/9/17 23:31,1091
resident permit holders only,2,mon-sat 08:30-18:30,N/A,N/A,N/A,N/A,Fitzroy Mews,W1T 6NH,CA-E,CA-E,9,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529075,182036,"LINESTRING (529077.008691998 182030.973431101,529078.567008546 182032.033127765,529072.630564553 182040.390735425,529071.245394288 182039.311044484)","LINESTRING (-0.140914037100572 51.5224640519259,-0.140891200707123 51.5224732193073,-0.140973660380804 51.5225496818962,-0.140994009825686 51.522540295287)",46036079,Defined By Custodian,4/9/17 23:31,1092
resident permit holders only,1,mon-sat 08:30-18:30,N/A,N/A,N/A,N/A,Fitzroy Mews,W1T 6JG,CA-E,CA-E,4,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529089,182023,"LINESTRING (529089.145421938 182026.724647302,529087.784986857 182025.704939191,529090.571817509 182021.646101021,529092.031193324 182022.695800548)","LINESTRING (-0.140740754810433 51.5224230983268,-0.140760725964653 51.522414245157,-0.140722065537487 51.5223771333092,-0.140700658112174 51.5223862334042)",46036080,Defined By Custodian,4/9/17 23:31,1093
loading,1,mon-sat 08:30-18:30,N/A,N/A,N/A,N/A,Maple Place,W1T 4BB,CA-E,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529292,182015,"LINESTRING (529292.724225586 182018.397031058,529291.042233121 182017.187377317,529293.993964995 182013.168527701,529295.667712399 182014.348190026)","LINESTRING (-0.137811130318346 51.5223017402452,-0.137835803822409 51.5222912541366,-0.137794755747041 51.5222544630009,-0.137770212023445 51.5222646814636)",46036081,Defined By Custodian,4/9/17 23:31,1094
solo motorcycles,1,mon-sat 08:30-18:30,N/A,N/A,N/A,N/A,Mortimer Market,W1T 7HA,CA-E,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529421,182076,"LINESTRING (529422.682878661 182071.341875753,529424.298910637 182072.411569557,529421.545060229 182076.720336185,529421.413139252 182076.920278952,529419.863067765 182075.880576564)","LINESTRING (-0.135919574560525 51.5227478023134,-0.135895901945848 51.5227570453384,-0.135933991901469 51.522796397212,-0.135935818944166 51.5227982242307,-0.135958530359231 51.5227892356208)",46036082,Defined By Custodian,4/9/17 23:31,1095
paid-for,3,mon-sat 08:30-18:30,2 hours,å£5.55 p/h,13899,E111,Mortimer Market,W1T 7JE,CA-E,N/A,18,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529417,182086,"MULTILINESTRING ((529419.145747449 182083.788312998,529417.587430901 182086.267603308,529414.561493477 182084.108221425),(529417.554450656 182086.267603308,529416.251731002 182088.426985192),(529419.145747449 182083.788312998,529416.078584719 182081.888856712),(529416.251731002 182088.426985192,529413.291754067 182086.347580415),(529420.440222042 182081.938842403,529419.145747449 182083.788312998),(529420.440222042 182081.938842403,529417.199913029 182079.849440488))","MULTILINESTRING ((-0.135965962023232 51.5228604640108,-0.135987500913759 51.5228831012924,-0.136031884162826 51.5228643883349),(-0.135987976018521 51.5228831088422,-0.136005950259036 51.5229028126997),(-0.135965962023232 51.5228604640108,-0.136010843758286 51.5228440963628),(-0.136005950259036 51.5229028126997,-0.136049353963146 51.5228848033638),(-0.135947992865332 51.5228435471039,-0.135965962023232 51.5228604640108),(-0.135947992865332 51.5228435471039,-0.135995438588696 51.522825512121))",46036083,Defined By Custodian,4/9/17 23:31,1096
resident permit holders only,1,mon-sat 08:30-18:30,N/A,N/A,N/A,N/A,Mortimer Market,WC1E 6JB,CA-E,CA-E,4,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529463,182084,"LINESTRING (529463.265069401 182081.478974039,529464.724445216 182082.508679289,529462.086025663 182086.357577554,529460.502973932 182085.587797901)","LINESTRING (-0.135331238869174 51.5228296091957,-0.13530983751959 51.5228385286111,-0.13534643297627 51.5228737215553,-0.135369520563377 51.5228671663179)",46036084,Defined By Custodian,4/9/17 23:31,1097
resident permit holders only,3,mon-sat 08:30-18:30,N/A,N/A,N/A,N/A,Scala Street,W1T 2HW,CA-E,CA-E,18,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529447,181774,"LINESTRING (529453.717288646 181780.994986686,529454.772656467 181779.415438827,529454.558284878 181779.265481752,529439.832605751 181769.038409221,529439.700684774 181768.948434975,529438.653562014 181770.517985696)","LINESTRING (-0.135579068794125 51.5201314466,-0.135564446065912 51.5201170100908,-0.135567589094135 51.5201157115593,-0.135783463439692 51.5200271756694,-0.135785396756745 51.520026397302,-0.135799904427022 51.5200407420558)",46036085,Defined By Custodian,4/9/17 23:31,1098
resident permit holders only,5,mon-sat 08:30-18:30,N/A,N/A,N/A,N/A,Tottenham Street,W1T 4QD,CA-E,CA-E,24,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529415,181792,"LINESTRING (529405.516661449 181783.914151084,529404.535499178 181785.383730421,529425.477954375 181799.259758449,529426.434381462 181797.720199144)","LINESTRING (-0.136272321669711 51.5201687141358,-0.136285916061185 51.5201821453245,-0.135979150902303 51.5203020510399,-0.135965938553257 51.5202879965918)",46036086,Defined By Custodian,4/9/17 23:31,1099
resident permit holders only,2,mon-sat 09:00-22:00,N/A,N/A,N/A,N/A,Church Row,NW3 6UU,CA-H,CA-H,14,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",526120,185612,"LINESTRING (526127.972952784 185611.77843633,526127.511229362 185613.747872585,526127.255632468 185613.687889755,526113.552340918 185610.74873108,526113.321479207 185610.698745388,526113.832672995 185608.62933775)","LINESTRING (-0.18211582584341 51.555309915165,-0.182121776573451 51.5553277173168,-0.18212548284127 51.5553272353485,-0.18232408738141 51.555303882072,-0.182327433472687 51.5553034844159,-0.182320805298262 51.5552847727978)",46034958,Defined By Custodian,4/9/17 23:31,11
resident permit holders only,1,mon-sat 09:00-19:00,N/A,N/A,N/A,N/A,Langland Gardens,NW3 6QD,CA-H,CA-H,4,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",525941,185319,"LINESTRING (525940.06801029 185322.041372702,525942.005599649 185321.311581602,525940.694634933 185317.432691923,525938.674594964 185318.232462991)","LINESTRING (-0.184928382114894 51.5527480256625,-0.184900711726068 51.5527410350413,-0.184920997535963 51.5527064683281,-0.184949831446348 51.5527141062312)",46035057,Defined By Custodian,4/9/17 23:31,110
resident permit holders only,4,mon-sat 08:30-18:30,N/A,N/A,N/A,N/A,Goodge Place,W1T 4SH,CA-E,CA-E,20,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529370,181703,"LINESTRING (529363.013371473 181711.084998212,529364.645893571 181712.194680569,529376.601232167 181694.889634087,529375.042915619 181693.809943145)","LINESTRING (-0.136911286192259 51.5195239485859,-0.136887363261766 51.519533547426,-0.136721497326168 51.519375297131,-0.136744340303264 51.5193659508678)",46036087,Defined By Custodian,4/9/17 23:31,1100
resident permit holders only,9,mon-sat 08:30-18:30,N/A,N/A,N/A,N/A,Fitzroy Street,W1T 6BU,CA-E,CA-E,44,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529121,182169,"LINESTRING (529133.050372302 182150.049345974,529134.097495062 182150.989076979,529109.329331514 182188.418362958,529107.820485332 182187.308680601)","LINESTRING (-0.140063120637662 51.5235213520008,-0.140047691715875 51.5235295578824,-0.140390798385269 51.5238715801938,-0.140412941209293 51.5238619524163)",46036096,Defined By Custodian,4/9/17 23:31,1109
paid-for,6,mon-sat 08:30-18:30,2 hours,å£5.55 p/h,13880,E105,Warren Street,W1T 5BA,CA-E,N/A,30,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529250,182254,"LINESTRING (529260.312890397 182260.267796271,529261.145641568 182258.198388633,529260.956005163 182258.128408665,529255.621450631 182256.128980995,529250.542492992 182254.269513262,529244.3092268 182251.98016858,529238.867486473 182249.98074091,529233.104188764 182247.691396228,529232.444583875 182249.700821036)","LINESTRING (-0.138189382727262 51.5244827657422,-0.138178144436316 51.5244639782385,-0.138180902037729 51.5244633927126,-0.138258485847531 51.5244466442502,-0.13833233611215 51.5244310950718,-0.138422973125186 51.5244119465861,-0.138502100906146 51.5243952224659,-0.13858596730547 51.5243759664109,-0.138594733339976 51.5243941752491)",46036088,Defined By Custodian,4/9/17 23:31,1101
paid-for,2,mon-sat 08:30-18:30,2 hours,å£5.55 p/h,13912,E113,Cleveland Street,W1T 6ND,CA-E,N/A,15,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529109,181971,"MULTILINESTRING ((529114.738091596 181964.212541206,529110.895893123 181968.951184784,529107.301046483 181973.379917072,529108.785157481 181974.519590844),(529116.098526678 181965.492174915,529114.738091596 181964.212541206),(529114.738091596 181964.212541206,529114.639150863 181964.302515452))","MULTILINESTRING ((-0.140394960999444 51.5218554772377,-0.140448574932657 51.5218989394024,-0.140498739191975 51.5219395599811,-0.140476942672208 51.5219494629595),(-0.140374894868979 51.5218666662183,-0.140394960999444 51.5218554772377),(-0.140394960999444 51.5218554772377,-0.14039635334761 51.5218563084038))",46036089,Defined By Custodian,4/9/17 23:31,1102
resident permit holders only,6,mon-sat 08:30-18:30,N/A,N/A,N/A,N/A,Huntley Street,WC1E 7AT,CA-E,CA-E,30,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529633,181916,"LINESTRING (529623.334685618 181927.483054913,529624.876512044 181928.77268576,529642.6693539 181903.859816994,529641.267693512 181902.660160392)","LINESTRING (-0.133081921506745 51.5214090231129,-0.133059237152778 51.5214202590795,-0.132812083890667 51.5211922961042,-0.132832716002402 51.5211818366116)",46036090,Defined By Custodian,4/9/17 23:31,1103
resident permit holders only,2,mon-sat 08:30-18:30,N/A,N/A,N/A,N/A,Huntley Street,WC1E 6AJ,CA-E,CA-E,13,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529614,181943,"LINESTRING (529608.691457102 181947.977188528,529610.142587856 181949.086870885,529618.214502674 181937.890075934,529616.672676248 181936.840376407)","LINESTRING (-0.133285329853803 51.521596553866,-0.133264018081292 51.5216061935284,-0.133151854456653 51.521503721284,-0.13317445065679 51.5214946414793)",46036091,Defined By Custodian,4/9/17 23:31,1104
